trial_id,score,status,num_blocks,filters_base,kernel_size,dropout,batchnorm,dense_units,l2_reg,optimizer,learning_rate,tuner/epochs,tuner/initial_epoch,tuner/bracket,tuner/round,tuner/trial_id,family,tuner_type,objective,batch_size,epochs_configured,learning_rate_std,optimizer_std,dropout_std,dense_units_std,depth_std,backbone_std,score_rank_within_family,attention_type,se_ratio,attention_placement,spatial_kernel,num_layers,units,activation,l2,backbone_choice,focus_units,fusion_layers,fusion_units,fusion_dropout,unfreeze_top
26,0.8075885772705078,COMPLETED,3.0,64.0,5.0,0.2,1.0,0.0,0.0006717172267976,rmsprop,0.0001295403803806,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0001295403803806,rmsprop,0.2,0,3,,74.0,,,,,,,,,,,,,,
85,0.8033514618873596,COMPLETED,2.0,48.0,3.0,0.4,1.0,192.0,0.0005925680810882,rmsprop,0.000569792347117,50.0,0.0,0.0,0.0,,cnn,hyperband,val_auc,32,50,0.000569792347117,rmsprop,0.4,192,2,,75.0,,,,,,,,,,,,,,
39,0.8032306432723999,COMPLETED,2.0,56.0,3.0,0.4,1.0,256.0,0.0001920598347906,adam,0.0007836795869032,6.0,2.0,3.0,1.0,25.0,cnn,hyperband,val_auc,32,50,0.0007836795869032,adam,0.4,256,2,,76.0,,,,,,,,,,,,,,
8,0.7680354118347168,COMPLETED,2.0,64.0,5.0,0.1,0.0,256.0,0.0005149379540077,adam,0.0005590166560691,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005590166560691,adam,0.1,256,2,,77.0,,,,,,,,,,,,,,
45,0.7601046562194824,COMPLETED,2.0,64.0,5.0,0.4,1.0,256.0,4.256571358257688e-05,rmsprop,0.0003017669273625,6.0,2.0,3.0,1.0,1.0,cnn,hyperband,val_auc,32,50,0.0003017669273625,rmsprop,0.4,256,2,,78.0,,,,,,,,,,,,,,
33,0.7252616882324219,COMPLETED,2.0,32.0,5.0,0.0,1.0,64.0,0.0007706592178728,rmsprop,0.0004152233529053,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0004152233529053,rmsprop,0.0,64,2,,79.0,,,,,,,,,,,,,,
27,0.710899829864502,COMPLETED,4.0,40.0,5.0,0.4,0.0,128.0,0.0006584375088863,rmsprop,0.0005298211680552,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0005298211680552,rmsprop,0.4,128,4,,80.0,,,,,,,,,,,,,,
22,0.7052234411239624,COMPLETED,5.0,48.0,3.0,0.4,0.0,0.0,0.0009270747755487,adam,0.0008530951334115,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0008530951334115,adam,0.4,0,5,,81.0,,,,,,,,,,,,,,
19,0.6384057998657227,COMPLETED,2.0,40.0,3.0,0.4,0.0,64.0,0.0006982233869838,rmsprop,0.0003209212748915,2.0,0.0,3.0,0.0,,cnn,hyperband,val_auc,32,50,0.0003209212748915,rmsprop,0.4,64,2,,82.0,,,,,,,,,,,,,,
59,0.6071054935455322,COMPLETED,2.0,32.0,5.0,0.2,0.0,64.0,0.0009310406118445,adam,0.0006618646093778,6.0,0.0,2.0,0.0,,cnn,hyperband,val_auc,32,50,0.0006618646093778,adam,0.2,64,2,,83.0,,,,,,,,,,,,,,
